ESCOLARIDAD,TIPO_VIVIENDA,Edad,RangoEdad,CLIENTE_CDE,SEGMENTO_CLIENTE,COMPROBANTE_INGRESOS,APROBACION_TC,Producto
PREPARATORIA,FAMILIARES,30,adulto joven,NO_CLIENTE,ALTO_A,DECLARACION ANUAL,APROBADO,CREDITO_AUTO
LICENCIATURA,FAMILIARES,27,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,28,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,28,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,28,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,44,adulto maduro,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,26,adulto joven,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,44,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,44,adulto maduro,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
PREPARATORIA,FAMILIARES,56,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
POSGRADO,PROPIA,25,joven,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,36,adulto maduro,CLIENTE_BANCO,ALTO_B,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
PREPARATORIA,PROPIA,44,adulto maduro,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,26,adulto joven,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,TARJETA_ORO
LICENCIATURA,PROPIA,26,adulto joven,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
PREPARATORIA,HIPOTECA,56,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
PREPARATORIA,FAMILIARES,27,adulto joven,CLIENTE_BANCO,ALTO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,HIPOTECA,50,adulto maduro,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,38,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,TARJETA_ORO
PREPARATORIA,RENTA,58,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,HIPOTECA,37,adulto maduro,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,36,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,TARJETA_ORO
PREPARATORIA,FAMILIARES,60,adulto mayor,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,TARJETA_ORO
LICENCIATURA,RENTA,39,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,TARJETA_ORO
POSGRADO,HIPOTECA,34,adulto joven,CLIENTE_BANCO,ALTO_A,INVERSIONES,APROBADO,TARJETA_ORO
PREPARATORIA,PROPIA,42,adulto maduro,NO_CLIENTE,MEDIO_B,INVERSIONES,APROBADO,TARJETA_ORO
POSGRADO,RENTA,37,adulto maduro,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
LICENCIATURA,FAMILIARES,36,adulto maduro,CLIENTE_BANCO,MEDIO_B,INVERSIONES,APROBADO,CREDITO_AUTO
POSGRADO,RENTA,55,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
PREPARATORIA,HIPOTECA,32,adulto joven,CLIENTE_BANCO,MEDIO_A,RECIBOS DE NOMINA,APROBADO,CREDITO_AUTO
LICENCIATURA,PROPIA,58,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
PREPARATORIA,RENTA,52,adulto mayor,CLIENTE_BANCO,MEDIO_A,INVERSIONES,APROBADO,CREDITO_AUTO
